===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
LP;czas;blad bezwzgledny;blad wzgledny
1;272.282ms;0.0272937;7.43157ms
2;264.554ms;0.00111898;0.296032ms
3;264.374ms;0.00180174;0.476332ms
4;263.225ms;0.00617431;1.62523ms
5;263.815ms;0.00392447;1.03533ms
6;259.298ms;0.0214141;5.55263ms
7;263.107ms;0.0066248;1.74303ms
8;261.057ms;0.0145287;3.79283ms
9;263.936ms;0.00346232;0.913832ms
10;264.957ms;0.000403718;0.106968ms
11;264.521ms;0.00124539;0.329432ms
12;263.898ms;0.00360681;0.951832ms
13;262.322ms;0.00963905;2.52853ms
14;257.888ms;0.0269967;6.96213ms
15;266.234ms;0.00519719;1.38367ms
16;264.218ms;0.00239398;0.632532ms
17;261.501ms;0.0128073;3.34913ms
18;259.565ms;0.0203607;5.28493ms
19;270.09ms;0.019399;5.23947ms
20;279.546ms;0.0525708;14.696ms
21;262.608ms;0.00853871;2.24233ms
22;269.929ms;0.018817;5.07927ms
23;265.122ms;0.00102582;0.271968ms
24;260.5ms;0.0166992;4.35013ms
25;272.707ms;0.0288124;7.85737ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
264.85ms;0.0125943;1.25943%;3.3653ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
LP;czas;blad bezwzgledny;blad wzgledny
1;0.0741ms;0.139757;0.010356ms
2;0.0658ms;0.0312462;0.002056ms
3;0.061ms;0.0449836;0.002744ms
4;0.061ms;0.0449836;0.002744ms
5;0.0711ms;0.10346;0.007356ms
6;0.0611ms;0.0432733;0.002644ms
7;0.0648ms;0.0162963;0.001056ms
8;0.061ms;0.0449836;0.002744ms
9;0.065ms;0.0193231;0.001256ms
10;0.0611ms;0.0432733;0.002644ms
11;0.0653ms;0.0238285;0.001556ms
12;0.0611ms;0.0432733;0.002644ms
13;0.0652ms;0.0223313;0.001456ms
14;0.0613ms;0.0398695;0.002444ms
15;0.0651ms;0.0208295;0.001356ms
16;0.0612ms;0.0415686;0.002544ms
17;0.0649ms;0.017812;0.001156ms
18;0.061ms;0.0449836;0.002744ms
19;0.0649ms;0.017812;0.001156ms
20;0.061ms;0.0449836;0.002744ms
21;0.0649ms;0.017812;0.001156ms
22;0.0646ms;0.0132508;0.000856ms
23;0.0612ms;0.0415686;0.002544ms
24;0.0649ms;0.017812;0.001156ms
25;0.061ms;0.0449836;0.002744ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
0.063744ms;0.039372;3.9372%;0.00255424ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: brute - force
LP;czas;blad bezwzgledny;blad wzgledny
1;280.256ms;0.0374812;10.5043ms
2;269.279ms;0.0017528;0.471992ms
3;268.795ms;0.00355658;0.955992ms
4;270.608ms;0.00316623;0.856808ms
5;269.986ms;0.000868594;0.234508ms
6;265.287ms;0.0168282;4.46429ms
7;270.698ms;0.00349728;0.946708ms
8;269.538ms;0.00079021;0.212992ms
9;270.457ms;0.00260858;0.705508ms
10;266.622ms;0.0117364;3.12919ms
11;264.948ms;0.0181288;4.80319ms
12;267.383ms;0.00885654;2.36809ms
13;269.815ms;0.000236488;0.063808ms
14;268.125ms;0.00606392;1.62589ms
15;267.083ms;0.00999238;2.66879ms
16;267.319ms;0.00910034;2.43269ms
17;274.504ms;0.0173142;4.75281ms
18;269.769ms;6.45293e-05;0.017408ms
19;268.771ms;0.00364769;0.980392ms
20;268.608ms;0.00425748;1.14359ms
21;266.745ms;0.0112714;3.00659ms
22;270.293ms;0.00200415;0.541708ms
23;281.042ms;0.0401734;11.2904ms
24;269.324ms;0.00158765;0.427592ms
25;268.529ms;0.0045533;1.22269ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
269.751ms;0.00878153;0.878153%;2.39312ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: nearest - neighbour
LP;czas;blad bezwzgledny;blad wzgledny
1;0.1496ms;0.399465;0.05976ms
2;0.1384ms;0.350867;0.04856ms
3;0.1346ms;0.332541;0.04476ms
4;0.134ms;0.329552;0.04416ms
5;0.1382ms;0.349928;0.04836ms
6;0.1339ms;0.329052;0.04406ms
7;0.1378ms;0.348041;0.04796ms
8;0.1221ms;0.26421;0.03226ms
9;0.0655ms;0.371603;0.02434ms
10;0.0597ms;0.504858;0.03014ms
11;0.0637ms;0.410361;0.02614ms
12;0.0598ms;0.502341;0.03004ms
13;0.0636ms;0.412579;0.02624ms
14;0.0598ms;0.502341;0.03004ms
15;0.0634ms;0.417035;0.02644ms
16;0.0596ms;0.507383;0.03024ms
17;0.0637ms;0.410361;0.02614ms
18;0.0596ms;0.507383;0.03024ms
19;0.0638ms;0.40815;0.02604ms
20;0.0594ms;0.512458;0.03044ms
21;0.0634ms;0.417035;0.02644ms
22;0.1099ms;0.18253;0.02006ms
23;0.0851ms;0.0556992;0.00474ms
24;0.0916ms;0.019214;0.00176ms
25;0.0658ms;0.36535;0.02404ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
0.08984ms;0.368413;36.8413%;0.031336ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: brute - force
LP;czas;blad bezwzgledny;blad wzgledny
1;266.585ms;0.0100585;2.68144ms
2;264.446ms;0.0182289;4.82054ms
3;265.671ms;0.013535;3.59584ms
4;262.7ms;0.0249948;6.56614ms
5;266.889ms;0.00890572;2.37684ms
6;267.932ms;0.00498091;1.33454ms
7;259.918ms;0.0359649;9.34794ms
8;268.782ms;0.00180349;0.484744ms
9;282.856ms;0.0480461;13.5902ms
10;267.879ms;0.00517787;1.38704ms
11;268.42ms;0.00315381;0.846544ms
12;266.497ms;0.0103924;2.76954ms
13;267.797ms;0.00548753;1.46954ms
14;264.836ms;0.0167282;4.43024ms
15;272.656ms;0.0124327;3.38986ms
16;279.523ms;0.0366938;10.2568ms
17;267.315ms;0.00730017;1.95144ms
18;277.359ms;0.0291789;8.09306ms
19;264.11ms;0.0195239;5.15644ms
20;267.145ms;0.0079408;2.12134ms
21;265.911ms;0.0126164;3.35484ms
22;268.847ms;0.00155979;0.419344ms
23;286.663ms;0.0606878;17.397ms
24;282.455ms;0.0466916;13.1883ms
25;258.466ms;0.0417875;10.8006ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
269.266ms;0.0193549;1.93549%;5.2732ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: nearest - neighbour
LP;czas;blad bezwzgledny;blad wzgledny
1;0.1565ms;0.545815;0.08542ms
2;0.1402ms;0.49301;0.06912ms
3;0.105ms;0.323048;0.03392ms
4;0.0639ms;0.112363;0.00718ms
5;0.0678ms;0.0483776;0.00328ms
6;0.0608ms;0.169079;0.01028ms
7;0.0638ms;0.114107;0.00728ms
8;0.0607ms;0.171005;0.01038ms
9;0.0638ms;0.114107;0.00728ms
10;0.0605ms;0.174876;0.01058ms
11;0.064ms;0.110625;0.00708ms
12;0.0605ms;0.174876;0.01058ms
13;0.0639ms;0.112363;0.00718ms
14;0.0605ms;0.174876;0.01058ms
15;0.0638ms;0.114107;0.00728ms
16;0.0606ms;0.172937;0.01048ms
17;0.0635ms;0.11937;0.00758ms
18;0.0608ms;0.169079;0.01028ms
19;0.0662ms;0.073716;0.00488ms
20;0.0609ms;0.167159;0.01018ms
21;0.064ms;0.110625;0.00708ms
22;0.0606ms;0.172937;0.01048ms
23;0.0604ms;0.176821;0.01068ms
24;0.0639ms;0.112363;0.00718ms
25;0.0604ms;0.176821;0.01068ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
0.07108ms;0.176178;17.6178%;0.0150768ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: brute - force
LP;czas;blad bezwzgledny;blad wzgledny
1;268.917ms;0.0122555;3.29572ms
2;262.79ms;0.0107754;2.83168ms
3;265.34ms;0.0010593;0.281076ms
4;264.789ms;0.00314544;0.832876ms
5;264.168ms;0.00550057;1.45308ms
6;259.379ms;0.024067;6.24248ms
7;262.365ms;0.0124132;3.25678ms
8;268.462ms;0.0105822;2.84092ms
9;260.302ms;0.0204366;5.31968ms
10;258.391ms;0.0279815;7.23018ms
11;268.464ms;0.0105881;2.84252ms
12;263.837ms;0.00676317;1.78438ms
13;262.303ms;0.0126509;3.31838ms
14;269.683ms;0.0150618;4.06192ms
15;273.57ms;0.0290555;7.94872ms
16;266.873ms;0.00468847;1.25122ms
17;271.727ms;0.0224704;6.10582ms
18;277.307ms;0.04214;11.6857ms
19;265.538ms;0.000314742;0.083576ms
20;268.456ms;0.0105597;2.83482ms
21;258.721ms;0.0266735;6.90098ms
22;262.784ms;0.0107962;2.83708ms
23;267.892ms;0.00847663;2.27082ms
24;266.676ms;0.00395358;1.05432ms
25;261.801ms;0.0145927;3.82038ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
265.621ms;0.0138801;1.38801%;3.69541ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: nearest - neighbour
LP;czas;blad bezwzgledny;blad wzgledny
1;0.1546ms;0.519638;0.080336ms
2;0.1425ms;0.478849;0.068236ms
3;0.1354ms;0.451521;0.061136ms
4;0.111ms;0.330955;0.036736ms
5;0.0653ms;0.137274;0.008964ms
6;0.0601ms;0.235674;0.014164ms
7;0.0639ms;0.162191;0.010364ms
8;0.0601ms;0.235674;0.014164ms
9;0.0721ms;0.0300139;0.002164ms
10;0.0601ms;0.235674;0.014164ms
11;0.0639ms;0.162191;0.010364ms
12;0.0601ms;0.235674;0.014164ms
13;0.0638ms;0.164013;0.010464ms
14;0.06ms;0.237733;0.014264ms
15;0.0637ms;0.16584;0.010564ms
16;0.0599ms;0.2398;0.014364ms
17;0.0639ms;0.162191;0.010364ms
18;0.06ms;0.237733;0.014264ms
19;0.064ms;0.160375;0.010264ms
20;0.0601ms;0.235674;0.014164ms
21;0.0672ms;0.105119;0.007064ms
22;0.0603ms;0.231575;0.013964ms
23;0.0602ms;0.233621;0.014064ms
24;0.0643ms;0.154961;0.009964ms
25;0.0601ms;0.235674;0.014164ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
0.074264ms;0.231186;23.1186%;0.0197155ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: brute - force
LP;czas;blad bezwzgledny;blad wzgledny
1;262.664ms;0.00586208;1.53976ms
2;264.223ms;7.32109e-05;0.019344ms
3;260.215ms;0.015326;3.98806ms
4;267.02ms;0.0105495;2.81694ms
5;266.319ms;0.0079429;2.11534ms
6;268.387ms;0.0155866;4.18324ms
7;263.029ms;0.00446397;1.17416ms
8;262.868ms;0.00508148;1.33576ms
9;264.674ms;0.00177745;0.470444ms
10;262.62ms;0.00602754;1.58296ms
11;263.289ms;0.0034713;0.913956ms
12;264.172ms;0.00011756;0.031056ms
13;266.36ms;0.00809523;2.15624ms
14;262.316ms;0.00719497;1.88736ms
15;267.291ms;0.0115509;3.08744ms
16;270.991ms;0.0250457;6.78714ms
17;263.093ms;0.0042223;1.11086ms
18;268.803ms;0.0171108;4.59944ms
19;261.199ms;0.011501;3.00406ms
20;262.699ms;0.00572883;1.50496ms
21;263.322ms;0.00334897;0.881856ms
22;268.187ms;0.0148521;3.98314ms
23;262.07ms;0.00814156;2.13366ms
24;260.171ms;0.0154993;4.03246ms
25;259.106ms;0.0196748;5.09786ms
Czas sredni;bl wzgledny;bl wzgledny[%];bl bezwzgledny
264.203ms;0.00912984;0.912984%;2.4175ms
===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
Metoda: nearest - neighbour
LP;czas;blad bezwzgledny;blad wzgledny
1;0.074ms;0.162595;0.012032ms
2;0.0635ms;0.024126;0.001532ms
3;0.0601ms;0.0310815;0.001868ms
4;0.0599ms;0.0345242;0.002068ms
5;0.0628ms;0.0132484;0.000832ms
6;0.0601ms;0.0310815;0.001868ms
7;0.0628ms;0.0132484;0.000832ms
8;0.0599ms;0.0345242;0.002068ms
9;0.0627ms;0.0116746;0.000732ms
10;0.0598ms;0.0362542;0.002168ms
